Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.CodigoPublicoNaLegAtual;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.NomeCompletoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.SexoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.FormaTratamento;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlFotoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UrlPaginaParticular;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.EmailParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.SiglaPartidoParlamentar;Servico.Parlamentares.Parlamentar.IdentificacaoParlamentar.UfParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.CodigoMandato;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.UfParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.PrimeiraLegislaturaDoMandato.NumeroLegislatura;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.PrimeiraLegislaturaDoMandato.DataInicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.PrimeiraLegislaturaDoMandato.DataFim;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.SegundaLegislaturaDoMandato.NumeroLegislatura;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.SegundaLegislaturaDoMandato.DataInicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.SegundaLegislaturaDoMandato.DataFim;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.DescricaoParticipacao;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Titular.DescricaoParticipacao;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Titular.CodigoParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Titular.NomeParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Suplentes.Suplente.DescricaoParticipacao;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Suplentes.Suplente.CodigoParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Suplentes.Suplente.NomeParlamentar;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.CodigoExercicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DataInicio;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DataFim;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.SiglaCausaAfastamento;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DescricaoCausaAfastamento;Servico.Parlamentares.Parlamentar.Mandatos.Mandato.Exercicios.Exercicio.DataLeitura
;;;;;;;;;;;;569;SP;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;569;SP;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;569;SP;;;;;;;2º Suplente;Titular;5376;Mara Gabrilli;;;;;;;;;
;;;;;;;;;;;;569;SP;;;;;;;2º Suplente;;;;1º Suplente;3651;Alfredo Cotait Neto;;;;;;
6010;914;Ivete da Silveira;Ivete Marli Appel da Silveira;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6010.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6010;;sen.ivetedasilveira@senado.leg.br;MDB;SC;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;571;SC;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;571;SC;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;571;SC;;;;;;;1º Suplente;Titular;5350;Jorginho Mello;;;;;;;;;
;;;;;;;;;;;;571;SC;;;;;;;1º Suplente;;;;2º Suplente;6011;Beto Martins;;;;;;
;;;;;;;;;;;;571;SC;;;;;;;1º Suplente;;;;;;;3003;2022-12-30;;;;
;;;;;;;;;;;;571;SC;;;;;;;1º Suplente;;;;;;;2989;2022-08-24;2022-12-20;RET;Retorno do titular;
5978;;Ivonete Nascimento;Maria Ivonete Gomes do Nascimento;Feminino;Senadora;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;558;DF;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;558;DF;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;558;DF;;;;;;;2º Suplente;Titular;5979;Leila Barros;;;;;;;;;
;;;;;;;;;;;;558;DF;;;;;;;2º Suplente;;;;1º Suplente;5977;Leany Lemos;;;;;;
4770;851;Izalci Lucas;Izalci Lucas Ferreira;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4770.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4770;;sen.izalcilucas@senado.leg.br;PSDB;DF;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;552;DF;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;552;DF;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;552;DF;;;;;;;Titular;;;;1º Suplente;5968;Luis Felipe Belmonte;;;;;;
;;;;;;;;;;;;552;DF;;;;;;;Titular;;;;2º Suplente;5969;Andre Filipe;;;;;;
;;;;;;;;;;;;552;DF;;;;;;;Titular;;;;;;;2909;2019-02-01;;;;
6356;;Izaura Cardoso;Izaura Cristina Cantanhede Peres Cardoso;Feminino;Senadora;;;;;PL;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;601;GO;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;601;GO;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;601;GO;;;;;;;1º Suplente;Titular;5070;Wilder Morais;;;;;;;;;
;;;;;;;;;;;;601;GO;;;;;;;1º Suplente;;;;2º Suplente;6357;Hélio Araújo;;;;;;
5931;;Jacira Souza;Jacira Maria Alves de Souza;Feminino;Senadora;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;573;AM;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;573;AM;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;573;AM;;;;;;;2º Suplente;Titular;5502;Plínio Valério;;;;;;;;;
;;;;;;;;;;;;573;AM;;;;;;;2º Suplente;;;;1º Suplente;6013;Carlos Alberto;;;;;;
35;932;Jader Barbalho;Jader Fontenelle Barbalho;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/35;http://jaderbarbalho.com.br/;sen.jaderbarbalho@senado.leg.br;MDB;PA;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;528;PA;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;528;PA;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;528;PA;;;;;;;Titular;;;;1º Suplente;5999;Helenilson Pontes;;;;;;
;;;;;;;;;;;;528;PA;;;;;;;Titular;;;;2º Suplente;6000;Chamon;;;;;;
;;;;;;;;;;;;528;PA;;;;;;;Titular;;;;;;;2910;2019-02-01;;;;
5912;;Jader Melo;Jader Paiva de Melo;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;538;GO;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;538;GO;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;538;GO;;;;;;;2º Suplente;Titular;5899;Vanderlan Cardoso;;;;;;;;;
;;;;;;;;;;;;538;GO;;;;;;;2º Suplente;;;;1º Suplente;453;Pedro Chaves;;;;;;
6340;891;Jaime Bagattoli;Jaime Maximino Bagattoli;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6340.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6340;;sen.jaimebagattoli@senado.leg.br;PL;RO;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;610;RO;57;2023-02-01;2027-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;610;RO;;;;58;2027-02-01;2031-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;610;RO;;;;;;;Titular;;;;1º Suplente;5617;Pastor Valadares;;;;;;
;;;;;;;;;;;;610;RO;;;;;;;Titular;;;;2º Suplente;6377;Dheep Rover;;;;;;
;;;;;;;;;;;;610;RO;;;;;;;Titular;;;;;;;3026;2023-02-01;;;;
6351;;Janaina Farias;Janaina Carla Farias;Feminino;Senadora;;;;;PT;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;598;CE;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;598;CE;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;598;CE;;;;;;;2º Suplente;Titular;6336;Camilo Santana;;;;;;;;;
;;;;;;;;;;;;598;CE;;;;;;;2º Suplente;;;;1º Suplente;6350;Augusta Brito;;;;;;
6383;;Janier;Janier Mota Santos Primo;Feminino;Senadora;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;614;SE;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;614;SE;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;614;SE;;;;;;;1º Suplente;Titular;4811;Laércio Oliveira;;;;;;;;;
;;;;;;;;;;;;614;SE;;;;;;;1º Suplente;;;;2º Suplente;6384;Fernando Carvalho;;;;;;
581;833;Jaques Wagner;Jaques Wagner;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador581.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/581;https://pt-br.facebook.com/jaqueswagneroficial/;sen.jaqueswagner@senado.leg.br;PT;BA;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;555;BA;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;555;BA;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;555;BA;;;;;;;Titular;;;;1º Suplente;5554;Bebeto;;;;;;
;;;;;;;;;;;;555;BA;;;;;;;Titular;;;;2º Suplente;6014;Luciana Leão Muniz;;;;;;
;;;;;;;;;;;;555;BA;;;;;;;Titular;;;;;;;2911;2019-02-01;;;;
4545;823;Jarbas Vasconcelos;Jarbas de Andrade Vasconcelos;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4545.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4545;;sen.jarbasvasconcelos@senado.leg.br;MDB;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;526;PE;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;526;PE;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;526;PE;;;;;;;Titular;;;;1º Suplente;5917;Fernando Dueire;;;;;;
;;;;;;;;;;;;526;PE;;;;;;;Titular;;;;2º Suplente;5918;Adilson Gomes;;;;;;
;;;;;;;;;;;;526;PE;;;;;;;Titular;;;;;;;2912;2019-02-01;2022-11-21;LCS;Licença com convocação de suplente (sup 120 dias);
4531;837;Jayme Campos;Jayme Veríssimo de Campos;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4531.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4531;;sen.jaymecampos@senado.leg.br;UNIÃO;MT;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;553;MT;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;553;MT;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;553;MT;;;;;;;Titular;;;;1º Suplente;5740;Fabio Garcia;;;;;;
;;;;;;;;;;;;553;MT;;;;;;;Titular;;;;2º Suplente;5960;Cândida Farias;;;;;;
;;;;;;;;;;;;553;MT;;;;;;;Titular;;;;;;;2987;2022-07-30;;;;
;;;;;;;;;;;;553;MT;;;;;;;Titular;;;;;;;2913;2019-02-01;2022-04-06;LCS;Licença com convocação de suplente (sup 120 dias);
5895;863;Jorge Kajuru;Jorge Kajuru Reis da Costa Nasser;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5895.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5895;;sen.jorgekajuru@senado.leg.br;PSB;GO;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;533;GO;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;533;GO;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;533;GO;;;;;;;Titular;;;;1º Suplente;5896;Benjamin Beze Junior;;;;;;
;;;;;;;;;;;;533;GO;;;;;;;Titular;;;;2º Suplente;5897;Milton Mercêz;;;;;;
;;;;;;;;;;;;533;GO;;;;;;;Titular;;;;;;;2914;2019-02-01;;;;
5993;;Jorge Mitidieri;Jorge Mitidieri;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;579;SE;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;579;SE;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;579;SE;;;;;;;1º Suplente;Titular;5352;Rogério Carvalho;;;;;;;;;
;;;;;;;;;;;;579;SE;;;;;;;1º Suplente;;;;2º Suplente;5994;Maria da Taiçoca;;;;;;
6342;897;Jorge Seif;Jorge Seif Júnior;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6342.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6342;;sen.jorgeseif@senado.leg.br;PL;SC;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;613;SC;57;2023-02-01;2027-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;613;SC;;;;58;2027-02-01;2031-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;613;SC;;;;;;;Titular;;;;1º Suplente;6381;Hermes Klann;;;;;;
;;;;;;;;;;;;613;SC;;;;;;;Titular;;;;2º Suplente;6382;Adrian da Blukit;;;;;;
;;;;;;;;;;;;613;SC;;;;;;;Titular;;;;;;;3024;2023-02-01;;;;
5350;884;Jorginho Mello;Jorginho dos Santos Mello;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5350.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5350;;sen.jorginhomello@senado.leg.br;PL;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;571;SC;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;571;SC;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;571;SC;;;;;;;Titular;;;;1º Suplente;6010;Ivete da Silveira;;;;;;
;;;;;;;;;;;;571;SC;;;;;;;Titular;;;;2º Suplente;6011;Beto Martins;;;;;;
;;;;;;;;;;;;571;SC;;;;;;;Titular;;;;;;;3002;2022-12-21;2022-12-29;REN;Renúncia;
;;;;;;;;;;;;571;SC;;;;;;;Titular;;;;;;;2915;2019-02-01;2022-08-22;LCS;Licença com convocação de suplente (sup 120 dias);
6364;;Josenir;Josenir Gonçalves Nascimento;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;604;PA;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;604;PA;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;604;PA;;;;;;;1º Suplente;Titular;4639;Beto Faro;;;;;;;;;
;;;;;;;;;;;;604;PA;;;;;;;1º Suplente;;;;2º Suplente;6365;Leny Campêlo;;;;;;
5569;;Josiel;Jose Samuel Alcolumbre Tobelem;Masculino;Senador;;;;;UNIÃO;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;618;AP;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;618;AP;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;618;AP;;;;;;;1º Suplente;Titular;3830;Davi Alcolumbre;;;;;;;;;
;;;;;;;;;;;;618;AP;;;;;;;1º Suplente;;;;2º Suplente;6347;Breno;;;;;;
5849;;José Amauri;Jose Amauri P. de Araújo;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5849.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5849;;sen.joseamauri@senado.leg.br;PODEMOS;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;607;PI;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;607;PI;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;607;PI;;;;;;;2º Suplente;Titular;5016;Wellington Dias;;;;;;;;;
;;;;;;;;;;;;607;PI;;;;;;;2º Suplente;;;;1º Suplente;6369;Jussara Lima;;;;;;
5983;;José Chagas;José Chagas dos Santos;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;560;MS;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;560;MS;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;560;MS;;;;;;;1º Suplente;Titular;5985;Nelsinho Trad;;;;;;;;;
;;;;;;;;;;;;560;MS;;;;;;;1º Suplente;;;;2º Suplente;5984;Professora Bazé;;;;;;
6305;;José Esteves de Lacerda Filho;José Esteves de Lacerda Filho;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;592;MT;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;592;MT;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;592;MT;;;;;;;2º Suplente;Titular;6295;Carlos Fávaro;;;;;;;;;
;;;;;;;;;;;;592;MT;;;;;;;2º Suplente;;;;1º Suplente;6304;Margareth Buzetti;;;;;;
5910;;José Hamilton;José Hamilton Furtado Castelo Branco;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;539;PI;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;539;PI;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;539;PI;;;;;;;1º Suplente;Titular;742;Marcelo Castro;;;;;;;;;
;;;;;;;;;;;;539;PI;;;;;;;1º Suplente;;;;2º Suplente;5911;Rosário Bezerra;;;;;;
4774;;João Pedro;João Pedro Gonçalves da Costa;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4774.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4774;;joaopedro@senador.leg.br;PT;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;619;AM;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;619;AM;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;619;AM;;;;;;;2º Suplente;Titular;5525;Omar Aziz;;;;;;;;;
;;;;;;;;;;;;619;AM;;;;;;;2º Suplente;;;;1º Suplente;6334;Cheila Moreira;;;;;;
6378;;Jr Rodrigues;José Raimundo Rodrigues Silva;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;611;RR;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;611;RR;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;611;RR;;;;;;;1º Suplente;Titular;5793;Dr. Hiran;;;;;;;;;
;;;;;;;;;;;;611;RR;;;;;;;1º Suplente;;;;2º Suplente;6379;Aline Rezende;;;;;;
5972;915;Julio Ventura;Julio Ventura Neto;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5972.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5972;;;PDT;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;556;CE;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;556;CE;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;556;CE;;;;;;;2º Suplente;Titular;5973;Cid Gomes;;;;;;;;;
;;;;;;;;;;;;556;CE;;;;;;;2º Suplente;;;;1º Suplente;5971;Prisco Bezerra;;;;;;
;;;;;;;;;;;;556;CE;;;;;;;2º Suplente;;;;;;;2990;2022-09-08;2023-01-03;RET;Retorno do titular;
6369;931;Jussara Lima;Antônia Jussara Gomes Alves Sousa Lima;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6369.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/6369;;sen.jussaralima@senado.leg.br;PSD;PI;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;607;PI;57;2023-02-01;2027-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;607;PI;;;;58;2027-02-01;2031-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;607;PI;;;;;;;1º Suplente;Titular;5016;Wellington Dias;;;;;;;;;
;;;;;;;;;;;;607;PI;;;;;;;1º Suplente;;;;2º Suplente;5849;José Amauri;;;;;;
;;;;;;;;;;;;607;PI;;;;;;;1º Suplente;;;;;;;3041;2023-02-06;;;;
5929;;Juíza Selma;Selma Rosane Santos Arruda;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5929.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5929;;sen.selmaarruda@senado.leg.br;PODEMOS;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;544;MT;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;544;MT;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;544;MT;;;;;;;Titular;;;;1º Suplente;5932;Beto Possamai;;;;;;
;;;;;;;;;;;;544;MT;;;;;;;Titular;;;;2º Suplente;5933;Clerie Fabiana;;;;;;
;;;;;;;;;;;;544;MT;;;;;;;Titular;;;;;;;2934;2019-02-01;2020-04-15;CAS;Cassação de registro/diploma pela Justiça Eleitoral;
5965;;Júnior Souto;Manoel Junior Souto de Souza;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;551;RN;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;551;RN;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;551;RN;;;;;;;1º Suplente;Titular;5783;Zenaide Maia;;;;;;;;;
;;;;;;;;;;;;551;RN;;;;;;;1º Suplente;;;;2º Suplente;5966;Pastor Manoel Roberto;;;;;;
4811;900;Laércio Oliveira;Laércio José de Oliveira;Masculino;Senador;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4811.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/4811;https://www.laerciooliveira.com.br/;sen.laerciooliveira@senado.leg.br;PP;SE;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;614;SE;57;2023-02-01;2027-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;614;SE;;;;58;2027-02-01;2031-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;614;SE;;;;;;;Titular;;;;1º Suplente;6383;Janier;;;;;;
;;;;;;;;;;;;614;SE;;;;;;;Titular;;;;2º Suplente;6384;Fernando Carvalho;;;;;;
;;;;;;;;;;;;614;SE;;;;;;;Titular;;;;;;;3025;2023-02-01;;;;
5977;;Leany Lemos;Leany Barreiro de Sousa Lemos;Feminino;Senadora;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;558;DF;56;2019-02-01;2023-01-31;;;;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;558;DF;;;;57;2023-02-01;2027-01-31;1º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;558;DF;;;;;;;1º Suplente;Titular;5979;Leila Barros;;;;;;;;;
;;;;;;;;;;;;558;DF;;;;;;;1º Suplente;;;;2º Suplente;5978;Ivonete Nascimento;;;;;;
5979;853;Leila Barros;Leila Gomes de Barros Rêgo;Feminino;Senadora;http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5979.jpg;http://www25.senado.leg.br/web/senadores/senador/-/perfil/5979;https://www.leiladovolei.com.br/;sen.leilabarros@senado.leg.br;PDT;DF;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;558;DF;56;2019-02-01;2023-01-31;;;;Titular;;;;;;;;;;;;
;;;;;;;;;;;;558;DF;;;;57;2023-02-01;2027-01-31;Titular;;;;;;;;;;;;
;;;;;;;;;;;;558;DF;;;;;;;Titular;;;;1º Suplente;5977;Leany Lemos;;;;;;
;;;;;;;;;;;;558;DF;;;;;;;Titular;;;;2º Suplente;5978;Ivonete Nascimento;;;;;;
;;;;;;;;;;;;558;DF;;;;;;;Titular;;;;;;;2918;2019-02-01;;;;
6365;;Leny Campêlo;Leny May da Silva Campêlo;Feminino;Senadora;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;604;PA;57;2023-02-01;2027-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;604;PA;;;;58;2027-02-01;2031-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;604;PA;;;;;;;2º Suplente;Titular;4639;Beto Faro;;;;;;;;;
;;;;;;;;;;;;604;PA;;;;;;;2º Suplente;;;;1º Suplente;6364;Josenir;;;;;;
5903;;Leonardo Rodrigues;Leonardo Rodrigues;Masculino;Senador;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;532;RJ;56;2019-02-01;2023-01-31;;;;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;532;RJ;;;;57;2023-02-01;2027-01-31;2º Suplente;;;;;;;;;;;;
;;;;;;;;;;;;532;RJ;;;;;;;2º Suplente;Titular;5894;Flávio Bolsonaro;;;;;;;;;
;;;;;;;;;;;;532;RJ;;;;;;;2º Suplente;;;;1º Suplente;5901;Paulo Marinho;;;;;;
